ID	Site_AK	Site_RD1	Site_SP1	Depth_(m)_5	Depth_(m)_7_10	Depth_(m)_18	Season_Fall	Season_Spring	Season_Summer	Season_Winter	Morphotype_articulated_calcareous	Morphotype_corticated	Morphotype_corticated_foliose	Morphotype_leathery
RD1-F-Jan1-3_(13)	0	1	0	0	1	0	1	0	0	0	1	0	0	0
RD1-W-Hal1-3_(14)	0	1	0	0	1	0	0	0	0	1	0	1	0	0
RD1-Sp-Hal1-3_(14)	0	1	0	0	1	0	0	1	0	0	0	1	0	0
RD1-W-Dic1-3_(15)	0	1	0	0	1	0	0	0	0	1	0	1	0	0
RD1-W-Dicty1-3_(15)	0	1	0	0	1	0	0	0	0	1	0	0	0	1
RD1-W-Sty1-3_(15)	0	1	0	0	1	0	0	0	0	1	0	0	1	0
RD1-W-Hal1-3_(15)	0	1	0	0	1	0	0	0	0	1	0	1	0	0
RD1-W-Lob1-3_(15)	0	1	0	0	1	0	0	0	0	1	0	0	1	0
RD1-Sp-Hal1-3_(15)	0	1	0	0	1	0	0	1	0	0	0	1	0	0
RD1-Sp-Sar1-3_(15)	0	1	0	0	1	0	0	1	0	0	0	0	0	1
RD1-Sm-Lob1-3_(15)	0	1	0	0	1	0	0	0	1	0	0	0	1	0
RD1-Sm-Hal1-3_(15)	0	1	0	0	1	0	0	0	1	0	0	1	0	0
RD1-W-Sar1-3_(16)	0	1	0	0	1	0	0	0	0	1	0	0	0	1
RD1-W-Hal1-3_(16)	0	1	0	0	1	0	0	0	0	1	0	1	0	0
RD1-Sp-Dic1-3_(16)	0	1	0	0	1	0	0	1	0	0	0	1	0	0
RD1-Sp-Dicty1-3_(16)	0	1	0	0	1	0	0	1	0	0	0	0	0	1
RD1-F-Lob1-3_(16)	0	1	0	0	1	0	1	0	0	0	0	0	1	0
RD1-W-Sar1-3_(17)	0	1	0	0	1	0	0	0	0	1	0	0	0	1
RD1-W-Hal1-3_(17)	0	1	0	0	1	0	0	0	0	1	0	1	0	0
RD1-F-Lob1-3_(17)	0	1	0	0	1	0	1	0	0	0	0	0	1	0
SP1-Sm-Gal1-3_(13)	0	0	1	0	0	1	0	0	1	0	1	0	0	0
SP1-Sm-Lau1-3_(13)	0	0	1	0	0	1	0	0	1	0	0	1	0	0
SP1-F-Cod1-3(13)	0	0	1	0	0	1	1	0	0	0	0	0	0	1
SP1-F-Lau1-3_(13)	0	0	1	0	0	1	1	0	0	0	0	1	0	0
SP1-W-Hal1-3_(14)	0	0	1	0	0	1	0	0	0	1	0	1	0	0
SP1-Sp-Hal1-3_(14)	0	0	1	0	0	1	0	1	0	0	0	1	0	0
SP1-W-Lau1-3__(15)	0	0	1	0	0	1	0	0	0	1	0	1	0	0
SP1-Sp-Lau1-3_(15)	0	0	1	0	0	1	0	1	0	0	0	1	0	0
SP1-Sm-Lau1-3_(15)	0	0	1	0	0	1	0	0	1	0	0	1	0	0
SP1-F-Lau1-3_(15)	0	0	1	0	0	1	1	0	0	0	0	1	0	0
SP1-Sm-Gal1-3_(16)	0	0	1	0	0	1	0	0	1	0	1	0	0	0
SP1-Sm-Lau1-3_(16)	0	0	1	0	0	1	0	0	1	0	0	1	0	0
SP1-W-Gal1-3_(17)%	0	0	1	0	0	1	0	0	0	1	1	0	0	0
SG-VS-F-Lau1-3_(13)	1	0	0	1	0	0	1	0	0	0	0	1	0	0
SG-SH-F-Lau1-3_(13)	1	0	0	0	1	0	1	0	0	0	0	1	0	0
SG-I-F-Lau1-3_(13)	1	0	0	0	0	1	1	0	0	0	0	1	0	0
AK-I-F-Cod1-3_(14)	1	0	0	0	0	1	1	0	0	0	0	0	0	1
AK-SH-F-Lau1-3_(14)	1	0	0	0	1	0	1	0	0	0	0	1	0	0
AK-SH-Sp-Sar1-3_(15)	1	0	0	0	1	0	0	1	0	0	0	0	0	1
AK-I-Sp-Jan1-3_(15)	1	0	0	0	0	1	0	1	0	0	1	0	0	0
AK-SH-Sp-Cys1-3_(15)	1	0	0	0	1	0	0	1	0	0	0	0	0	1
AK-VS-Sp-Lia1-3_(15)	1	0	0	1	0	0	0	1	0	0	0	1	0	0
AK-VS-Sp-Lau1-3_(15)	1	0	0	1	0	0	0	1	0	0	0	1	0	0
AK-VS-F-Lau1-3_(15)	1	0	0	1	0	0	1	0	0	0	0	1	0	0
AK-SH-F-Lau1-3_(15)	1	0	0	0	1	0	1	0	0	0	0	1	0	0
AK-VS-Sm-Lia1-3_(17)	1	0	0	1	0	0	0	0	1	0	0	1	0	0
SG-VS-Sm-Lia1-3_(17)	1	0	0	1	0	0	0	0	1	0	0	1	0	0
NL-SH-F-Gal1-3_(14)	1	0	0	0	1	0	1	0	0	0	1	0	0	0
NL-I-F-Cod1-3_(14)	1	0	0	0	0	1	1	0	0	0	0	0	0	1
SF-VS-Sp-Jan1-3_(15)	1	0	0	1	0	0	0	1	0	0	1	0	0	0
SF-VS-Sp-Sar1-3_(15)	1	0	0	1	0	0	0	1	0	0	0	0	0	1
SF-VS-F-Lau1-3_(15)	1	0	0	1	0	0	1	0	0	0	0	1	0	0
NL-VS-F-Lau1-3_(15)	1	0	0	1	0	0	1	0	0	0	0	1	0	0
NL-I-F-Gal1-3_(15)	1	0	0	0	0	1	1	0	0	0	1	0	0	0
NL-I-F-Lau1-3_(15)	1	0	0	0	0	1	1	0	0	0	0	1	0	0
SF-VS-Sm-Dicty1-3_(17)	1	0	0	1	0	0	0	0	1	0	0	0	0	1
