Class	Textularia agglutinans	Textularia truncata	Hauerina diversa	Miliolinella subrotunda	Miliolinella spp.	Peneroplis pertusus	Sigmamiliolinella australis	Amphistegina lobifera	Cymbaloporetta sp.	Discorbis globularis 	Discorbis vilardeboanus	Epistomaroides punctulata	Heterostegina depressa	Lenticulina cultrata	Neoconorbina sp. 1	Pararotalia calcariformata	Planorbulina mediterranensis	Rosalina floridana 	Rosalina sp.	Tretomphalus bulloides
1	1.13	0.00	0.31	0.00	0.00	0.16	0.00	66.97	0.00	0.62	0.00	0.00	0.47	0.00	0.00	27.65	1.25	0.00	0.00	0.00
1	10.60	0.00	0.00	0.00	0.00	0.11	1.37	19.19	0.04	0.22	0.01	0.11	0.00	0.00	0.21	63.37	0.74	0.00	0.00	2.85
1	6.35	0.00	0.00	0.33	1.20	0.00	0.44	4.92	0.00	0.77	0.22	0.00	0.00	0.00	0.00	81.73	0.66	0.00	0.00	2.95
1	42.86	0.00	14.29	0.00	0.00	0.00	0.00	14.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	28.57	0.00	0.00	0.00	0.00
1	63.38	0.00	2.55	0.32	0.00	0.64	0.00	31.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00
1	60.00	0.00	25.00	0.00	0.00	0.00	5.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	46.44	0.00	4.60	2.09	0.42	0.42	0.00	21.76	0.00	0.00	1.67	1.67	0.00	0.84	0.00	6.69	0.00	0.00	2.09	7.11
1	63.48	0.00	1.74	0.00	0.00	0.00	0.00	12.17	0.00	0.00	3.48	0.00	0.00	0.00	0.00	0.87	1.74	4.35	3.48	0.00
1	22.70	0.00	7.16	4.50	0.41	0.00	1.43	15.95	0.41	0.00	0.82	0.41	0.00	0.20	0.00	5.52	1.02	0.00	1.23	30.06
1	7.22	0.00	5.15	0.00	0.00	0.00	0.00	23.71	1.03	5.15	0.00	0.00	0.00	0.00	15.46	6.19	1.03	2.06	0.00	30.93
1	10.08	0.00	2.56	0.26	0.00	0.32	1.06	8.23	0.09	0.00	0.00	0.00	0.00	4.11	0.24	31.90	3.50	0.00	0.00	36.31
1	3.54	0.00	0.43	1.56	0.00	0.00	0.43	1.86	0.79	0.15	0.00	0.00	0.00	0.05	0.00	60.51	1.59	0.24	0.00	26.11
1	35.43	0.00	1.57	0.00	0.00	0.39	0.00	10.24	3.15	0.00	0.79	0.00	3.15	0.00	0.00	0.00	13.39	0.00	0.00	20.87
1	23.30	0.00	0.45	0.07	0.45	0.00	1.01	5.95	0.00	0.00	0.14	0.28	0.25	0.00	0.00	4.35	6.40	0.00	0.00	47.62
1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	60.71	0.00	0.00	0.71	0.00	0.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.86	0.00	0.00	10.71
1	17.64	0.00	0.74	0.00	0.00	0.28	0.00	79.34	0.00	0.00	0.00	0.11	0.06	0.00	0.00	0.11	0.28	0.00	0.00	0.97
1	27.69	0.00	0.30	0.00	0.30	0.15	0.00	67.17	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.76	0.00	0.00	2.72
1	36.70	0.00	0.78	0.39	0.19	0.58	0.00	43.69	0.19	0.00	1.55	1.94	0.00	0.00	0.19	0.39	2.72	0.00	0.39	9.90
1	9.93	0.00	0.67	0.13	0.07	0.47	0.00	87.28	0.07	0.00	0.00	0.20	0.07	0.00	0.00	0.00	0.47	0.00	0.00	0.47
1	2.76	0.00	0.00	0.35	0.00	0.00	0.00	88.61	1.73	0.00	0.00	0.00	0.46	0.00	0.00	0.23	0.69	0.00	0.00	4.95
1	1.83	0.00	0.00	0.00	0.00	0.00	0.00	92.12	0.00	0.00	0.00	0.91	1.48	0.00	0.00	0.00	0.91	0.00	0.00	0.91
1	0.22	0.00	0.00	0.00	0.22	0.00	1.64	82.46	0.88	0.00	0.00	0.00	0.33	0.00	0.00	9.43	0.44	0.00	0.00	3.51
1	11.60	0.00	0.00	0.00	0.00	0.00	0.00	80.66	0.00	0.00	0.00	0.00	5.52	0.00	0.00	2.21	0.00	0.00	0.00	0.00
1	7.69	0.00	0.00	0.00	0.00	0.00	0.00	86.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.85	0.00	0.00	0.00	0.96
1	10.24	0.00	4.22	0.90	1.20	0.00	1.81	68.98	0.00	0.30	0.00	0.00	0.90	0.30	0.30	3.31	1.20	0.00	0.00	3.31
1	14.25	0.97	1.29	3.23	0.81	0.32	1.78	46.95	0.00	0.97	0.00	0.00	0.20	0.00	0.89	10.01	1.70	0.00	0.00	9.93
1	12.55	0.00	7.88	2.40	2.00	0.27	5.21	47.93	0.00	0.53	0.67	0.27	0.13	0.00	0.00	3.87	2.94	0.53	0.00	8.01
