ID	Species richness	N/10cc	d	J	J_class	N_10cc_class	J_3classes
RD1-F-Jan1-3_(13)	10	400.2	1.50	0.38	1	2	2
RD1-W-Hal1-3_(14)	29	412.3	4.65	0.35	1	2	2
RD1-Sp-Hal1-3_(14)	13	1523.3	1.64	0.31	1	3	2
RD1-W-Dic1-3_(15)	4	14.0	1.14	0.92	2	1	3
RD1-W-Dicty1-3_(15)	10	29.9	2.65	0.39	1	1	2
RD1-W-Sty1-3_(15)	5	15.4	1.46	0.68	2	1	3
RD1-W-Hal1-3_(15)	21	103.9	4.31	0.59	2	2	3
RD1-W-Lob1-3_(15)	18	35.9	4.75	0.52	2	1	3
RD1-Sp-Hal1-3_(15)	29	104.0	6.03	0.64	2	2	3
RD1-Sp-Sar1-3_(15)	12	46.2	2.87	0.78	2	1	3
RD1-Sm-Lob1-3_(15)	15	453.9	2.29	0.62	2	2	3
RD1-Sm-Hal1-3_(15)	30	4674.6	3.43	0.37	1	3	2
RD1-W-Sar1-3_(16)	25	211.7	4.48	0.64	2	2	3
RD1-W-Hal1-3_(16)	25	167.2	4.69	0.53	2	2	3
RD1-Sp-Dic1-3_(16)	0	0.0	0.00	0.00	1	1	1
RD1-Sp-Dicty1-3_(16)	5	60.9	0.97	0.64	2	1	3
RD1-F-Lob1-3_(16)	12	319.5	1.91	0.26	1	2	1
RD1-W-Sar1-3_(17)	11	388.8	1.68	0.36	1	2	2
RD1-W-Hal1-3_(17)	16	223.9	2.77	0.50	2	2	2
RD1-F-Lob1-3_(17)	14	272.9	2.32	0.19	1	2	1
SP1-Sm-Gal1-3_(13)	10	724.2	1.37	0.23	1	3	2
SP1-Sm-Lau1-3_(13)	13	1302.9	1.67	0.28	1	3	2
SP1-F-Cod1-3(13)	4	164.5	0.59	0.48	1	2	2
SP1-F-Lau1-3_(13)	5	693.3	0.61	0.33	1	3	2
SP1-W-Hal1-3_(14)	20	1362.1	2.63	0.44	1	3	2
SP1-Sp-Hal1-3_(14)	28	707.7	2.66	0.58	2	3	3
SP1-W-Lau1-3__(15)	26	1248.3	3.51	0.60	2	3	3
SP1-Sp-Lau1-3_(15)	25	1323.3	3.34	0.65	2	3	3
SP1-Sm-Lau1-3_(15)	16	2577.5	1.91	0.60	2	3	3
SP1-F-Lau1-3_(15)	18	1116.7	2.42	0.55	2	3	3
SP1-Sm-Gal1-3_(16)	29	513.1	4.49	0.53	2	3	3
SP1-Sm-Lau1-3_(16)	22	2636.3	2.67	0.43	1	3	2
SP1-W-Gal1-3_(17)%	19	746.7	2.72	0.39	1	3	2
SG-VS-F-Lau1-3_(13)	5	657.0	0.62	0.43	1	3	2
SG-SH-F-Lau1-3_(13)	3	1657.6	0.27	0.52	2	3	3
SG-I-F-Lau1-3_(13)	14	1018.2	1.88	0.27	1	3	2
AK-I-F-Cod1-3_(14)	18	551.8	2.69	0.47	1	3	3
AK-SH-F-Lau1-3_(14)	23	1512.9	3.00	0.50	2	3	2
AK-SH-Sp-Sar1-3_(15)	15	47.9	3.62	0.74	2	1	3
AK-I-Sp-Jan1-3_(15)	21	534.1	3.18	0.42	1	3	2
AK-SH-Sp-Cys1-3_(15)	19	291.7	3.17	0.73	2	2	3
AK-VS-Sp-Lia1-3_(15)	15	60.6	3.41	0.63	2	1	3
AK-VS-Sp-Lau1-3_(15)	16	665	2.31	0.59	2	3	3
AK-VS-F-Lau1-3_(15)	8	191.4	1.33	0.45	1	2	2
AK-SH-F-Lau1-3_(15)	17	73.6	3.72	0.76	2	1	3
AK-VS-Sm-Lia1-3_(17)	6	224.7	0.92	0.66	2	2	3
SG-VS-Sm-Lia1-3_(17)	8	807.9	1.05	0.70	2	3	3
NL-SH-F-Gal1-3_(14)	17	264.7	2.87	0.40	1	2	2
NL-I-F-Cod1-3_(14)	7	185.7	1.15	0.52	2	2	3
SF-VS-Sp-Jan1-3_(15)	24	207.5	4.31	0.61	2	2	3
SF-VS-Sp-Sar1-3_(15)	15	96.8	3.06	0.68	2	1	3
SF-VS-F-Lau1-3_(15)	29	1065.7	4.02	0.57	2	3	3
NL-VS-F-Lau1-3_(15)	23	360.9	3.74	0.37	1	2	2
NL-I-F-Gal1-3_(15)	33	412.1	5.31	0.57	2	2	3
NL-I-F-Lau1-3_(15)	19	730	2.73	0.61	2	3	3
SF-VS-Sm-Dicty1-3_(17)	15	683.5	2.14	0.44	1	3	2
